drg_code,drg_desc,discharges,medicare_spend_usd_bn,avg_payment_per_discharge,pct_of_total_spend,cumulative_pct
871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,561795,8.49,17658.0,11.6,11.6
291,HEART FAILURE AND SHOCK WITH MCC,319702,3.08,11581.0,4.2,15.8
853,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,78526,3.07,44839.0,4.2,19.9
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,166662,2.31,16044.0,3.1,23.1
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,39207,1.62,44535.0,2.2,25.3
003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC",6835,1.38,236101.0,1.9,27.2
274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,52963,1.32,27504.0,1.8,29.0
870,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS,21332,1.2,63211.0,1.6,30.6
193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,125793,1.18,11455.0,1.6,32.2
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,20681,1.11,57675.0,1.5,33.7
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",83150,1.01,14470.0,1.4,35.1
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,71939,0.99,16799.0,1.3,36.4
481,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,62714,0.97,17895.0,1.3,37.8
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,63186,0.96,18247.0,1.3,39.1
454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,19004,0.91,57029.0,1.2,40.3
