state,hospitals,discharges,medicare_spend_usd_bn,payment_per_discharge,markup_ratio,cost_rank,spend_rank
DC,6,16246,0.38,31118.0,4.15,1,37
AK,8,9387,0.19,24894.0,5.53,2,49
HI,12,10883,0.2,23850.0,3.18,3,48
NY,129,329669,6.4,23533.0,4.84,4,2
CA,275,441929,8.94,23330.0,6.32,5,1
MD,44,130663,2.78,23098.0,1.11,6,8
MN,45,73158,1.31,21974.0,3.2,7,20
OR,30,36366,0.67,21804.0,3.15,8,30
CT,26,55936,0.92,19893.0,3.39,9,23
UT,29,23134,0.38,19658.0,3.46,10,38
WA,45,84147,1.35,19625.0,4.4,11,18
MA,54,183445,3.02,19237.0,2.57,12,6
CO,48,46569,0.74,18848.0,6.89,13,27
ME,17,13805,0.2,17889.0,3.27,14,46
NE,24,33434,0.51,17775.0,3.82,15,35
WY,9,5800,0.09,17713.0,2.88,16,51
NJ,63,172827,2.5,17701.0,6.26,17,9
AZ,58,93809,1.36,17503.0,5.37,18,17
WI,65,66915,0.94,17453.0,3.7,19,22
PA,129,227069,3.14,17285.0,5.48,20,5
RI,9,13958,0.2,17208.0,2.67,21,47
TX,240,332232,4.69,17162.0,6.32,22,4
DE,6,26876,0.37,17023.0,3.25,23,39
NH,13,24659,0.36,16999.0,3.81,24,40
GA,88,128054,1.75,16878.0,4.92,25,14
IL,115,223982,2.98,16869.0,4.19,26,7
NV,22,43038,0.61,16842.0,8.84,27,33
SD,15,21074,0.3,16788.0,4.23,28,41
NC,81,152408,2.07,16676.0,3.72,29,11
ID,15,16326,0.24,16458.0,4.29,30,43
NM,25,18370,0.25,16374.0,4.09,31,42
VA,71,153255,1.98,16329.0,4.39,32,12
OH,116,177100,2.27,16180.0,4.03,33,10
TN,77,118691,1.51,15950.0,4.72,34,15
MI,87,140175,1.84,15931.0,3.37,35,13
KS,45,51595,0.7,15874.0,5.71,36,28
MT,11,15027,0.21,15781.0,2.9,37,45
SC,51,93263,1.18,15643.0,5.14,38,21
ND,6,17156,0.23,15581.0,3.12,39,44
MO,65,104952,1.39,15432.0,4.5,40,16
OK,67,71453,0.91,15028.0,5.12,41,24
AL,69,70322,0.82,14684.0,5.37,42,26
KY,60,73349,0.87,14422.0,4.73,43,25
FL,166,442286,5.27,14350.0,7.02,44,3
IA,31,46389,0.57,14324.0,3.99,45,34
WV,23,37699,0.42,14266.0,4.03,46,36
IN,80,110234,1.34,14132.0,4.71,47,19
LA,76,60953,0.69,13825.0,4.73,48,29
AR,42,55312,0.65,13634.0,3.93,49,31
MS,51,55640,0.63,13173.0,4.5,50,32
VT,6,9306,0.09,12526.0,4.06,51,50
