state,hospitals,discharges,avg_payment,cheapest_hospital,priciest_hospital,within_state_spread_x,cost_rank
MD,29,1090,26111.0,18918.0,59789.0,3.2,1
AK,5,348,22859.0,19601.0,28613.0,1.5,2
NY,59,6994,22841.0,12418.0,29665.0,2.4,3
CA,132,7729,20684.0,13452.0,36188.0,2.7,4
CT,12,572,19471.0,16241.0,27124.0,1.7,5
NM,5,248,19409.0,12117.0,22988.0,1.9,6
OR,14,580,19093.0,15518.0,22242.0,1.4,7
NV,10,361,18197.0,15702.0,19713.0,1.3,8
MA,38,4508,17690.0,15023.0,28585.0,1.9,9
NJ,27,1287,17178.0,14160.0,24756.0,1.7,10
WA,29,933,17125.0,14400.0,19759.0,1.4,11
UT,14,543,16575.0,13644.0,19207.0,1.4,12
CO,22,683,16048.0,13048.0,30292.0,2.3,13
NH,7,228,16003.0,13974.0,24245.0,1.7,14
MN,23,1491,15937.0,13541.0,23472.0,1.7,15
IL,52,3255,15934.0,12188.0,35238.0,2.9,16
MI,39,1311,15906.0,12532.0,22180.0,1.8,17
GA,27,635,15766.0,11516.0,22736.0,2.0,18
WV,13,576,15515.0,11403.0,18113.0,1.6,19
PA,69,4152,15305.0,11473.0,22959.0,2.0,20
ID,6,109,15256.0,12672.0,19628.0,1.5,21
NC,43,2805,15191.0,12662.0,22596.0,1.8,22
VA,33,1502,15059.0,12114.0,22899.0,1.9,23
SC,24,894,14910.0,12067.0,25251.0,2.1,24
MT,8,263,14860.0,13632.0,17827.0,1.3,25
FL,88,4583,14786.0,11120.0,20084.0,1.8,26
AZ,26,1497,14780.0,12924.0,24585.0,1.9,27
WI,20,875,14710.0,12604.0,21968.0,1.7,28
TX,85,4659,14643.0,11429.0,23553.0,2.1,29
OH,49,1731,14539.0,11550.0,20485.0,1.8,30
AL,27,1188,14500.0,11679.0,24129.0,2.1,31
TN,29,1373,14472.0,11946.0,20419.0,1.7,32
LA,16,504,14471.0,11214.0,26673.0,2.4,33
MO,35,1139,14452.0,11804.0,20163.0,1.7,34
IN,40,1813,14210.0,12469.0,17792.0,1.4,35
NE,11,416,14146.0,12480.0,18616.0,1.5,36
SD,10,955,13819.0,12887.0,17699.0,1.4,37
KS,26,2042,13803.0,11125.0,19289.0,1.7,38
MS,14,676,13560.0,12310.0,18789.0,1.5,39
KY,11,430,13461.0,12108.0,16941.0,1.4,40
IA,16,1137,13390.0,11853.0,17315.0,1.5,41
OK,34,2333,13307.0,11537.0,21141.0,1.8,42
AR,12,512,12583.0,11671.0,17278.0,1.5,43
