state,hospitals,total_discharges,top3_share_pct,top10_share_pct
DE,6,26876,90.2,100.0
VT,6,9306,83.6,100.0
WY,9,5800,81.4,100.0
DC,6,16246,79.2,100.0
AK,8,9387,74.8,100.0
RI,9,13958,74.4,100.0
SD,15,21074,72.6,96.1
ND,6,17156,70.8,100.0
HI,12,10883,67.5,98.8
ME,17,13805,62.4,93.0
ID,15,16326,61.0,96.4
MT,11,15027,57.4,99.4
UT,29,23134,54.6,88.1
NE,24,33434,53.8,82.2
NM,25,18370,53.1,88.7
NH,13,24659,45.3,93.4
WV,23,37699,44.1,82.4
CT,26,55936,41.3,72.7
KS,45,51595,40.9,72.9
IA,31,46389,39.0,75.3
NV,22,43038,38.8,79.8
MN,45,73158,34.9,72.2
KY,60,73349,32.0,63.5
CO,48,46569,32.0,62.9
OR,30,36366,31.7,73.6
MS,51,55640,30.5,72.9
AL,69,70322,30.4,56.9
WI,65,66915,30.1,59.7
LA,76,60953,26.8,62.1
OK,67,71453,26.5,61.3
AR,42,55312,23.8,61.6
TN,77,118691,23.8,55.8
SC,51,93263,23.5,59.8
AZ,58,93809,21.1,49.2
IN,80,110234,20.7,46.6
MO,65,104952,20.0,48.7
NY,129,329669,20.0,39.9
MA,54,183445,19.9,52.2
NC,81,152408,18.2,46.2
MI,87,140175,18.1,43.4
WA,45,84147,17.5,47.6
MD,44,130663,16.9,44.0
GA,88,128054,16.9,38.4
VA,71,153255,16.5,43.2
NJ,63,172827,15.9,43.3
OH,116,177100,15.6,36.1
FL,166,442286,13.6,28.4
PA,129,227069,13.5,33.9
IL,115,223982,13.2,33.5
TX,240,332232,11.3,24.5
CA,275,441929,7.8,18.3
