drg_code,drg_desc,discharges,avg_total_payment,avg_medicare_payment,avg_gap_per_discharge,gap_pct_of_payment
219,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,11687,83621.0,70520.0,13101.0,15.7
454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,19004,57029.0,48129.0,8900.0,15.6
023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,11156,55050.0,47107.0,7943.0,14.4
236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,12870,36254.0,28735.0,7519.0,20.7
025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,20387,44921.0,37545.0,7376.0,16.4
870,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS,21332,63211.0,56222.0,6989.0,11.1
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,11355,50901.0,43940.0,6960.0,13.7
455,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,15538,40949.0,34163.0,6786.0,16.6
981,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC,15028,45418.0,38885.0,6532.0,14.4
329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,23889,42588.0,36479.0,6110.0,14.3
460,SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,26777,33492.0,27655.0,5837.0,17.4
853,INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURES WITH MCC,78526,44839.0,39114.0,5726.0,12.8
472,CERVICAL SPINAL FUSION WITH CC,10395,28054.0,22774.0,5279.0,18.8
164,MAJOR CHEST PROCEDURES WITH CC,11737,25066.0,20198.0,4868.0,19.4
330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,33469,22400.0,17911.0,4489.0,20.0
